name,円覚寺,明月院,建長寺,東慶寺,浄智寺,鶴岡八幡宮,小町通り,鎌倉国宝館,源頼朝の墓,宝戒寺,報国寺,杉本寺,浄妙寺,瑞泉寺,高徳院,長谷寺,御霊神社,鎌倉文学館,光則寺,極楽寺,成就院,稲村ヶ崎,七里ヶ浜,鎌倉高校前駅,銭洗弁財天宇賀福神社,佐助稲荷神社,寿福寺,葛原岡神社,妙本寺,安国論寺,光明寺,由比ヶ浜,荏柄天神社,半僧坊
高徳院,16.846794218245734,22.73767342073894,35.334365546726865,15.663522534419904,20.5314739502879,35.41725935522928,22.391163866676017,36.37668685913995,43.89143307443686,34.32971909822649,53.16692954907584,51.32817057859305,58.3,62.5,0.0,8.8,9.9,12.8,8.4,17.4,14.2,24.8,23.77529203927847,23.19928625070015,24.4,24.7,29.109896974556676,29.1,31.700955934252217,34.6,32.4,15.7,48.23481276199999,35.97086196210758
長谷寺,15.454378444538712,21.345257647031914,33.94194977301984,14.27110676071288,19.139058176580875,34.02484358152225,20.998748092968995,34.98427108543293,42.49901730072984,32.93730332451947,51.77451377536882,49.93575480488603,56.7,60.9,8.8,0.0,7.7,11.2,6.2,15.2,12.0,21.7,22.382876265571447,21.80687047699313,28.4,28.7,27.717481200849654,31.35798160374573,30.308540160545196,33.0,30.6,13.8,46.84239698829296,34.578446188400555
御霊神社,19.896022599167914,25.786901801661116,38.383593927649045,18.712750915342085,23.580702331210077,38.46648773615145,25.440392247598197,39.42591524006213,46.94066145535904,37.37894747914867,56.21615792999802,54.0,59.8,64.0,9.9,7.7,0.0,12.4,8.1,8.4,5.2,15.2,20.82452042020065,20.24851463162233,29.6,29.9,32.15912535547886,34.3,34.750184315174394,34.1,29.0,12.3,50.6,39.02009034302976
鎌倉文学館,19.895234380488933,25.78611358298214,38.38280570897007,18.711962696663104,23.579914112531096,31.7,24.3,32.4,39.5,32.4,49.7,45.2,51.1,55.2,12.8,11.2,12.4,0.0,11.6,19.6,16.4,25.6,26.82373220152167,26.24772641294335,24.6,24.9,28.6,29.3,27.1,30.2,28.3,11.6,41.9,39.01930212435077
光則寺,15.283721028165612,21.174600230658818,33.77129235664674,14.100449344339781,18.968400760207775,33.85418616514915,20.828090676595895,34.81361366905983,42.32835988435674,32.76664590814637,51.60385635899571,49.76509738851293,57.1,61.3,8.4,6.2,8.1,11.6,0.0,15.6,12.4,22.1,22.212218849198347,21.63621306062003,28.0,28.3,27.546823784476555,31.18732418737263,30.137882744172096,33.4,31.0,14.3,46.671739571919865,34.40778877202746
極楽寺,16.20707225970478,22.097951462197983,34.69464358818591,15.02380057587895,19.891751991746943,34.77753739668832,21.751441908135064,35.736964900599,43.25171111589591,33.68999713968554,52.527207590534886,50.6884486200521,58.28906968047243,68.09265702334238,17.4,15.2,8.4,19.6,15.6,0.0,3.3,16.7,17.135570080737516,16.559564292159198,37.1,37.4,28.470175016015723,32.110675418911796,31.061233975711264,38.7,33.6,16.9,47.59509080345903,35.331140003566624
成就院,16.124129834702206,22.015009037195412,34.61170116318334,14.940858150876375,19.80880956674437,34.694594971685746,21.66849948313249,35.65402247559642,43.16876869089333,33.60705471468296,52.444265165532315,50.60550619504953,58.20612725546985,65.3,14.2,12.0,5.2,16.4,12.4,3.3,0.0,14.9,17.05262765573494,16.476621867156624,33.8,34.1,28.38723259101315,32.027732993909225,30.97829155070869,35.5,30.4,13.7,47.51214837845646,35.248197578564046
稲村ヶ崎,27.73949972173681,33.630378924230016,46.227071050217944,26.55622803791098,31.424179453778972,46.30996485872035,33.28386937016709,47.269392362631024,54.78413857792793,45.22242460171756,64.05963505256692,62.22087608208413,68.6,72.7,24.8,21.7,15.2,25.6,22.1,16.7,14.9,0.0,16.0,24.091991754191227,42.1,42.4,40.00260247804775,43.64310288094383,42.59366143774329,42.9,37.8,21.1,59.12751826549106,46.86356746559865
七里ヶ浜,22.328022665145298,28.2189018676385,40.81559399362643,21.14475098131947,26.01270239718746,40.89848780212884,27.87239231357558,41.857915306039516,49.372661521336425,39.810947545126055,58.6481579959754,56.80939902549262,64.41002008591295,74.2136074287829,23.77529203927847,22.382876265571447,20.82452042020065,26.82373220152167,22.212218849198347,17.135570080737516,17.05262765573494,16.0,0.0,12.680514697599717,43.876420364982636,46.42945600403236,34.59112542145624,38.23162582435232,37.182184381151785,44.962080864876256,50.1349612481985,27.971055304928072,53.716041208899554,41.45209040900714
鎌倉高校前駅,21.752016876566984,27.642896079060186,40.239588205048115,20.568745192741154,25.436696608609147,40.32248201355053,27.296386524997267,41.2819095174612,48.79665573275811,39.23494175654774,58.07215220739709,56.2333932369143,63.83401429733463,73.63760164020458,23.199286250700155,21.806870476993133,20.24851463162233,26.247726412943354,21.636213060620033,16.559564292159198,16.476621867156624,24.091991754191227,12.680514697599719,0.0,43.30041457640432,45.853450215454046,34.015119632877926,37.65562003577401,36.60617859257347,44.38607507629794,49.558955459620186,27.395049516349758,53.14003542032124,40.87608462042883
銭洗弁財天宇賀福神社,24.7,24.0,27.7,19.8,17.2,24.2,18.9,24.9,32.2,25.1,42.3,37.9,43.7,47.9,24.4,28.4,29.6,24.6,28.0,37.1,33.8,42.1,43.876420364982636,43.30041457640432,0.0,5.8,13.5,6.1,27.1,33.9,38.8,25.6,34.5,30.4
佐助稲荷神社,29.8,29.0,32.9,24.9,22.2,29.2,18.5,29.9,37.2,28.3,47.3,42.9,48.7,52.9,24.7,28.7,29.9,24.9,28.3,37.4,34.1,42.4,46.42945600403236,45.853450215454046,5.8,0.0,18.5,11.2,27.4,34.2,39.1,25.9,39.5,35.6
寿福寺,24.7,23.9,21.1,19.8,17.2,8.8,6.3,9.5,18.8,12.2,28.9,24.5,30.4,34.5,29.109896974556676,27.717481200849654,32.15912535547886,28.6,27.546823784476555,28.470175016015723,28.38723259101315,40.00260247804775,34.59112542145624,34.015119632877926,13.5,18.5,0.0,14.1,17.1,25.3,35.2,26.8,21.2,23.8
葛原岡神社,19.2,18.4,28.3,14.3,11.7,24.8,19.5,25.5,32.8,25.7,42.9,38.5,44.4,48.5,29.1,31.35798160374573,34.3,29.3,31.18732418737263,32.110675418911796,32.027732993909225,43.64310288094383,38.23162582435232,37.65562003577401,6.1,11.2,14.1,0.0,30.3,38.4,43.5,30.3,35.1,31.0
妙本寺,28.253686560119046,34.14456576261225,30.5,27.070414876293217,31.93836629216121,17.5,11.3,17.3,16.6,13.0,25.9,21.5,27.3,31.5,31.70095593425222,30.308540160545196,34.750184315174394,27.1,30.137882744172096,31.061233975711264,30.97829155070869,42.59366143774329,37.182184381151785,36.60617859257347,27.1,27.4,17.1,30.3,0.0,13.9,26.8,23.7,18.1,35.3
安国論寺,36.03358304384352,41.924462246336724,39.1,34.85031136001769,39.718262775885684,24.9,19.5,24.7,25.1,20.4,33.9,30.0,38.6,40.0,34.6,33.0,34.1,30.2,33.4,38.7,35.5,42.9,44.962080864876256,44.38607507629794,33.9,34.2,25.3,38.4,13.9,0.0,19.9,22.1,26.6,43.8
光明寺,41.206463427165765,47.09734262965897,52.8,40.023191743339936,44.89114315920793,36.7,29.4,37.4,39.6,34.9,49.0,44.5,53.8,54.5,32.4,30.6,29.0,28.3,31.0,33.6,30.4,37.8,50.1349612481985,49.558955459620186,38.8,39.1,35.2,43.5,26.8,19.9,0.0,17.0,41.1,57.6
由比ヶ浜,19.042557483895337,24.933436686388543,37.53012881237647,17.859285800069507,22.727237215937503,28.5,21.0,29.2,36.3,29.1,46.4,41.9,47.8,52.0,15.7,13.8,12.3,11.6,14.3,16.9,13.7,21.1,27.971055304928072,27.395049516349754,25.6,25.9,26.8,30.3,23.7,22.1,17.0,0.0,38.6,38.16662522775718
荏柄天神社,44.7,40.7,19.0,39.8,37.2,12.8,19.2,12.6,5.0,11.0,12.6,8.2,14.1,16.2,48.23481276199999,46.84239698829297,50.6,41.9,46.67173957191987,47.59509080345904,47.51214837845646,59.12751826549106,53.716041208899554,53.14003542032124,34.5,39.5,21.2,35.1,18.1,26.6,41.1,38.6,0.0,23.7
半僧坊,24.6,17.0,4.9,23.8,22.4,21.5,29.8,21.3,20.3,25.3,34.4,30.0,35.8,31.4,35.97086196210758,34.578446188400555,39.02009034302976,39.01930212435077,34.40778877202746,35.331140003566624,35.248197578564046,46.86356746559865,41.45209040900714,40.87608462042883,30.4,35.6,23.8,31.0,35.3,43.8,57.6,38.16662522775718,23.7,0.0
